seed,policy,stratum,sessions,users,shortfall,individual_unavoidable,dimension
11,stochastic,15-25kWh,442,59,0.037326504314545546,0.009464428129260795,request_band
11,stochastic,>25kWh,123,23,0.057593407776781465,0.008724486168894817,request_band
22,debt_share,<=15kWh,183,35,0.013589562782313897,0.00175967813273016,request_band
22,debt_share,15-25kWh,447,60,0.057812773822173806,0.00429085896924885,request_band
22,debt_share,>25kWh,118,23,0.13287208588177837,0.01892504830428985,request_band
22,edf,<=15kWh,183,35,0.03572916074322024,0.00175967813273016,request_band
22,edf,15-25kWh,447,60,0.05552099661674407,0.00429085896924885,request_band
22,edf,>25kWh,118,23,0.11234279943014414,0.01892504830428985,request_band
22,equal,<=15kWh,183,35,0.010633701809172322,0.00175967813273016,request_band
22,equal,15-25kWh,447,60,0.05755393722139055,0.00429085896924885,request_band
22,equal,>25kWh,118,23,0.1565072269726392,0.01892504830428985,request_band
22,fcfs,<=15kWh,183,35,0.02646543612599839,0.00175967813273016,request_band
22,fcfs,15-25kWh,447,60,0.06367771298196125,0.00429085896924885,request_band
22,fcfs,>25kWh,118,23,0.11822010446824492,0.01892504830428985,request_band
22,history,<=15kWh,183,35,0.02403042309662341,0.00175967813273016,request_band
22,history,15-25kWh,447,60,0.05423763321736154,0.00429085896924885,request_band
22,history,>25kWh,118,23,0.09634973002031079,0.01892504830428985,request_band
22,laxity,<=15kWh,183,35,0.08587159775634916,0.00175967813273016,request_band
22,laxity,15-25kWh,447,60,0.05926706796562916,0.00429085896924885,request_band
22,laxity,>25kWh,118,23,0.05041823152338142,0.01892504830428985,request_band
22,maxmin,<=15kWh,183,35,0.0818398129888418,0.00175967813273016,request_band
22,maxmin,15-25kWh,447,60,0.08695101077491983,0.00429085896924885,request_band
22,maxmin,>25kWh,118,23,0.09089053240025062,0.01892504830428985,request_band
