policy,shortfall,cdf
history,0.0,0.36666666666666664
history,1.3061447348531253e-17,0.38333333333333336
history,2.220446049250313e-17,0.4
history,3.172065784643304e-17,0.4166666666666667
history,0.0005413716464104769,0.43333333333333335
history,0.005087133022982439,0.45
history,0.005743910431532638,0.4666666666666667
history,0.00707060757825873,0.48333333333333334
history,0.007804994136014293,0.5
history,0.007978220553768628,0.5166666666666667
history,0.008328940302320162,0.5333333333333333
history,0.008696409557336216,0.55
history,0.009712332176043547,0.5666666666666667
history,0.01006028958087439,0.5833333333333334
history,0.012928593805636487,0.6
history,0.014062174922851082,0.6166666666666667
history,0.022488473073708902,0.6333333333333333
history,0.0236535815360179,0.65
history,0.02699802487247492,0.6666666666666666
history,0.02888382702969299,0.6833333333333333
history,0.02957346667013817,0.7
history,0.03042196685915426,0.7166666666666667
history,0.0325988898051236,0.7333333333333333
history,0.03295320151607538,0.75
history,0.037337438127443355,0.7666666666666667
history,0.04074065569517853,0.7833333333333333
history,0.04382127307755593,0.8
history,0.05022156233034917,0.8166666666666667
history,0.061807702083222775,0.8333333333333334
history,0.07122926600338224,0.85
history,0.08263128635494218,0.8666666666666667
history,0.1,0.8833333333333333
history,0.1,0.9
history,0.10471806983722895,0.9166666666666666
history,0.11330639051528003,0.9333333333333333
history,0.12149738746869812,0.95
history,0.13663604307266192,0.9666666666666667
history,0.15393375245101604,0.9833333333333333
history,0.1908015100922958,1.0
